Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
CV23 8YD,52.334492,-1.173675,,10,4,Kilsby
CV23 8YE,52.335266,-1.173749,,18,6,Kilsby
CV23 8YF,52.34752,-1.180185,,9,4,
CV23 8YG,52.332078,-1.180779,,16,7,Kilsby
CV23 8YQ,52.335214,-1.17918,,21,10,Kilsby
CV23 8YS,52.333049,-1.182082,,32,29,Kilsby
CV23 8YT,52.333551,-1.179255,,13,6,Kilsby
CV23 8YW,52.333921,-1.175623,,12,5,Kilsby
CV23 8YX,52.319226,-1.174898,,3,1,
CV23 8YZ,52.332297,-1.178662,,23,9,Kilsby
LE15 8NZ,52.584848,-0.598666,,7,4,
LE15 8PA,52.585002,-0.594233,,54,24,
LE15 8PD,52.5863,-0.590693,,7,3,
LE16 8DA,52.511098,-0.83401,,9,7,Ashley (Kettering)
LE16 8FG,52.508433,-0.83271,,4,1,
LE16 8GE,52.518467,-0.72474,,3,1,
LE16 8HA,52.465452,-0.867159,,4,1,
LE16 8HB,52.456696,-0.843234,,3,2,
LE16 8HD,52.508937,-0.827439,,31,11,Ashley (Kettering)
LE16 8HE,52.510812,-0.829627,,7,4,Ashley (Kettering)
LE16 8HF,52.510496,-0.831315,,59,30,Ashley (Kettering)
LE16 8HG,52.510258,-0.826461,,56,28,Ashley (Kettering)
LE16 8HH,52.467358,-0.861695,,5,2,
LE16 8HJ,52.487264,-0.869191,,5,1,
LE16 8HL,52.494424,-0.868624,,26,12,
LE16 8HN,52.515222,-0.855004,,13,4,
LE16 8HP,52.50502,-0.865405,,92,40,
LE16 8HQ,52.509979,-0.83183,,39,18,Ashley (Kettering)
LE16 8HR,52.514594,-0.853208,,56,21,
LE16 8HS,52.514371,-0.85619,,16,8,
LE16 8HT,52.516008,-0.854468,,19,10,
LE16 8HU,52.515997,-0.857916,,19,9,
LE16 8HW,52.511015,-0.829312,,16,7,Ashley (Kettering)
LE16 8HX,52.514125,-0.854001,,12,7,
LE16 8HY,52.515799,-0.853356,,7,4,
LE16 8HZ,52.516695,-0.856675,,10,5,
LE16 8JS,52.426097,-0.894375,,21,9,
LE16 8JT,52.425556,-0.890374,,8,3,
LE16 8JU,52.423019,-0.901688,,2,1,
LE16 8JW,52.44163,-0.862961,,3,1,
LE16 8JX,52.424715,-0.89266,,15,7,
LE16 8JY,52.424816,-0.893893,,6,2,
LE16 8JZ,52.424432,-0.892255,,50,19,
LE16 8LA,52.42703,-0.89322,,73,32,
LE16 8LB,52.428393,-0.894011,,13,6,
LE16 8LD,52.454801,-0.878749,,42,23,Braybrooke
LE16 8LE,52.45235,-0.873618,,23,9,Braybrooke
LE16 8LF,52.451485,-0.863897,,11,3,
LE16 8LG,52.448734,-0.850902,,4,3,
LE16 8LH,52.449782,-0.875876,,69,34,Braybrooke
LE16 8LJ,52.45538,-0.878249,,42,20,Braybrooke
LE16 8LL,52.466315,-0.893871,,2,1,
LE16 8LN,52.450386,-0.876845,,29,13,Braybrooke
LE16 8LP,52.455214,-0.859946,,4,3,
LE16 8LQ,52.450749,-0.87532,,31,7,Braybrooke
LE16 8LR,52.453835,-0.87455,,12,6,Braybrooke
LE16 8LS,52.451786,-0.874884,,58,24,Braybrooke
LE16 8LT,52.443089,-0.917845,,15,7,
LE16 8LU,52.442369,-0.908739,,13,7,
LE16 8LW,52.453102,-0.877895,,33,14,Braybrooke
LE16 8LX,52.440326,-0.886355,,11,3,
LE16 8LY,52.442491,-0.926067,,19,9,
LE16 8LZ,52.443807,-0.926418,,7,3,
LE16 8NA,52.444668,-0.918439,,83,27,
LE16 8NB,52.451668,-0.910055,,2,0,
LE16 8ND,52.443553,-0.920289,,15,9,
LE16 8NE,52.443368,-0.921632,,108,30,
LE16 8NF,52.462164,-0.917435,,7,3,
LE16 8NG,52.443428,-0.925294,,43,18,
LE16 8NH,52.442864,-0.918673,,4,1,
LE16 8NJ,52.426504,-0.892718,,15,6,
LE16 8NP,52.425403,-0.893157,,15,7,
LE16 8NS,52.443798,-0.920459,,8,5,
LE16 8NY,52.481226,-0.813595,,10,4,
LE16 8PB,52.476394,-0.853363,,3,2,
LE16 8PD,52.48046,-0.842462,,4,2,
